Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (miles),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (mph),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (miles),Distance in Speed Zone 2  (miles),Distance in Speed Zone 3  (miles),Distance in Speed Zone 4  (miles),Distance in Speed Zone 5  (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (miles),Distance in Deceleration Zones: 1 - 2 m/s/s  (miles),Distance in Deceleration Zones: 2 - 3 m/s/s  (miles),Distance in Deceleration Zones: 3 - 4 m/s/s  (miles),Distance in Deceleration Zones: > 4 m/s/s  (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (miles),Distance in Acceleration Zones: 1 - 2 m/s/s  (miles),Distance in Acceleration Zones: 2 - 3 m/s/s  (miles),Distance in Acceleration Zones: 3 - 4 m/s/s  (miles),Distance in Acceleration Zones: > 4 m/s/s  (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (miles),Distance in Power Zone: 5 - 10 w/kg  (miles),Distance in Power Zone: 10 - 15 w/kg  (miles),Distance in Power Zone: 15 - 20 w/kg  (miles),Distance in Power Zone: 20 - 25 w/kg  (miles),Distance in Power Zone: 25 - 30 w/kg  (miles),Distance in Power Zone: 30 - 35 w/kg  (miles),Distance in Power Zone: 35 - 40 w/kg  (miles),Distance in Power Zone: 40 - 45 w/kg  (miles),Distance in Power Zone: 45 - 50 w/kg  (miles),Distance in Power Zone: > 50 w/kg  (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
44803,August 30 2022,Stefan Broge,all, training, 44803.4086875,44803.481538194,"6294",3.411,53.646,12,505.4988,0,0,0,306.7992,12.6662,52.3305,4.0003,16.6961,0,5.426,4.5467,"0.9185","1.8978","0.5614","0.0333","0","4126.5","1906.8","250.9","10.1","0","96","0","0","0","0","0","11","1","0","0","1.4186","0.2836","0.0819","0.0181","0.0034","2865.9","246.9","60","12.1","2.1","1.2766","0.252","0.0642","0.0111","0.0014","2763.7","262.6","66.3","13.2","1.5","1.3754","0.9034","0.6053","0.287","0.1246","0.054","0.0311","0.0143","0.0074","0.0031","0.0055","4749.3","911.6","365.9","148.1","62.1","26.3","15.7","7.1","3.8","1.6","2.8","6294.3","0","0","0","0","0","158","129","35","8","0","152","127","33","14"
44803,August 30 2022,Patrick Kawulok ,all, training, 44803.408645833,44803.481079861,"6258",4.3109,277.742,21,802.239,2,0,0,306.005,15.8377,66.5173,5.1089,19.7645,18,6.0324,5.0134,"0.9256","2.5698","0.643","0.1655","0.0071","3147.3","2784.8","277.6","46.9","1.6","92","2","0","0","0","0","15","5","1","0","1.7888","0.3226","0.1063","0.0313","0.0073","2630.1","267.2","64.7","16.3","4","1.6532","0.2809","0.0974","0.0216","0.0015","2918.6","256.4","80.3","19.3","1.3","1.6605","1.3998","0.4966","0.2945","0.1758","0.1038","0.0623","0.0407","0.0249","0.0163","0.0356","4150.4","1471.7","300.4","142.9","76.3","41.9","26.6","16.6","10.5","6.7","14.2","6258.3","0","0","0","0","0","134","131","54","7","0","157","99","50","16"
44803,August 30 2022,Giles El-Assal,all, training, 44803.408407407,44803.481091435,"6280",2.9865,108.598,15,488.6909,1,0,0,282.3657,14.0282,45.9203,3.4456,10.916,0,7.0223,4.6223,"1.1511","1.4114","0.3565","0.0675","0","4589.6","1513.6","156.7","19.9","0","227","1","0","0","0","0","12","3","0","0","1.2437","0.2144","0.0648","0.0198","0.0052","2655.8","198.5","42.3","11.3","2.8","1.1906","0.1872","0.0522","0.0071","0.0015","3125.2","188.6","46.6","7.1","1.6","1.6358","0.594","0.3494","0.1712","0.1112","0.0529","0.0284","0.0164","0.0086","0.0081","0.0105","5267.8","600.5","219","86.9","50","24.4","12.5","7.1","3.6","3.4","4.6","6279.8","0","0","0","0","0","119","86","22","6","0","92","77","32","13"
44803,August 30 2022,Noah,all, training, 44803.407212963,44803.481493056,"6418",3.1717,195.838,12,575.7721,3,0,0,238.2893,16.5833,47.7198,3.5801,10.9807,0,5.4445,5.0815,"1.0569","1.624","0.3691","0.1068","0.0149","4418","1804.6","162.3","29.4","3.3","55","3","0","0","0","0","7","5","0","0","1.3389","0.2227","0.0637","0.0171","0.003","2839.5","213.4","37.2","9.5","1.6","1.2852","0.1731","0.0515","0.0135","0.003","3086.7","173.9","39.8","13","3","1.6239","0.7818","0.3338","0.1526","0.0931","0.0643","0.0424","0.0237","0.0196","0.0129","0.0236","5201.5","827.2","199.4","74.2","41.8","25.3","17.2","9.7","7.2","4.9","9.2","6417.8","0","0","0","0","0","77","63","26","14","0","88","60","23","9"
44803,August 30 2022,John Kennedy,all, training, 44803.408019676,44803.481369213,"6337",4.3516,225.044,29,562.09,11,0,0,388.2354,15.4251,66.3072,5.0492,20.7631,0,7.5023,4.7,"0.9835","2.4929","0.7353","0.1372","0.0027","3367.5","2611","318.6","39.5","0.6","361","11","0","0","0","0","18","9","2","0","1.735","0.3617","0.0938","0.0207","0.0039","2721.1","302.9","63.1","12.2","2.1","1.7315","0.3186","0.0749","0.011","0.0005","2870.8","292.4","62.6","9.3","0.7","1.635","1.3003","0.6194","0.3623","0.2009","0.097","0.0493","0.0367","0.0192","0.0119","0.0196","4259.3","1342.1","378.2","176.3","85.9","40.7","20.1","14.2","7.6","4.8","8","6337.2","0","0","0","0","0","207","119","41","4","0","171","120","38","12"
44803,August 30 2022,Gabriel,all, training, 44803.407396991,44803.481688657,"6419",3.3642,170.494,22,633.1428,15,0,0,312.8532,15.5841,50.6078,3.9306,15.1633,18,6.1415,4.8849,"1.1022","1.6675","0.4886","0.1033","0.0027","4472.5","1704.9","211","29.8","0.6","256","16","0","0","0","0","17","5","0","0","1.3486","0.2899","0.0864","0.0283","0.0066","2811.6","248.4","53.7","16.5","3.5","1.2634","0.2495","0.0722","0.0169","0.0025","2967.2","239","62.2","14.6","2.1","1.477","0.8917","0.4233","0.2397","0.135","0.0744","0.0377","0.0316","0.0172","0.0132","0.0234","4985.4","903.8","265","119.3","60.1","32.6","16.3","13.7","7.5","5.7","9.4","6418.8","0","0","0","0","0","136","104","41","11","0","145","90","42","18"
44803,August 30 2022,Kaeden Ruparel,all, training, 44803.408791667,44803.481291667,"6264",3.4108,164.239,13,488.3948,3,0,0,293.4397,17.5477,52.5776,4.0308,13.386,10,5.1245,6.6089,"1.0312","1.8214","0.4561","0.0932","0.0088","4026","2011.5","198.5","26.1","1.9","163","3","0","0","0","0","7","5","1","0","1.4105","0.2771","0.0803","0.0226","0.0075","2821.1","231","51.5","12.8","4.1","1.2855","0.2403","0.07","0.014","0.0029","2837.2","227.9","61.7","13.7","3","1.6433","0.8732","0.3578","0.2213","0.1241","0.0704","0.0363","0.0287","0.0191","0.0132","0.0234","4868.4","922.7","223","110.6","58.2","30.8","16","11.8","7.8","5","9.7","6264","0","0","0","0","0","128","109","30","15","0","145","92","30","19"
44803,August 30 2022,Rafael Zornoza ,all, training, 44803.408527778,44803.481248843,"6283",4.228,159.002,18,778.06,1,0,0,325.8495,16.3845,64.9788,5.0061,20.3323,0,7.026,6.0768,"1.0512","2.4605","0.6175","0.0834","0.0154","3367.5","2620.5","268.7","23","3.4","113","1","0","0","0","0","12","6","0","0","1.7174","0.351","0.1008","0.0338","0.0059","2680.2","327.8","69.8","19.7","3.2","1.6138","0.3","0.0823","0.0191","0.0038","2777.6","304.9","77.8","18.5","3.6","1.6509","1.3895","0.525","0.3036","0.1333","0.0866","0.0547","0.0287","0.0197","0.0096","0.0264","4182.5","1466.9","321.8","153.4","62.8","38","22.2","12.4","8.2","4.1","10.8","6283.1","0","0","0","0","0","175","134","51","16","0","144","132","56","15"
44803,August 30 2022,Nicholas Jung,all, training, 44803.408800926,44803.481050926,"6242",3.8566,75.925,12,690.1456,1,0,0,261.3765,14.1276,59.6598,4.5352,18.0687,0,5.4712,4.8223,"1.0346","2.1245","0.6504","0.0472","0","3682.8","2258.4","287.2","13.9","0","29","1","0","0","0","0","10","2","0","0","1.6055","0.2858","0.0951","0.0272","0.0067","2609.9","255.8","67.2","16.9","4","1.4839","0.2534","0.0822","0.0154","0.0015","2944.7","250","75.3","16.5","2","1.6128","1.1009","0.5322","0.3108","0.1414","0.0733","0.0394","0.0183","0.0116","0.0085","0.0074","4475.5","1148.6","317","152.9","69.6","36.8","19.2","9.2","5.4","4.1","4","6242.3","0","0","0","0","0","127","124","50","6","0","120","115","43","24"
44803,August 30 2022,Mitchell Deutsch,all, training, 44803.407480324,44803.48083912,"6338",4.4694,183.284,21,795.384,0,0,0,338.4767,14.8236,68.0929,5.1477,22.3865,0,5.2037,4.8889,"0.8707","2.7759","0.7089","0.113","0.0009","3103","2892","310.1","32.9","0.2","70","0","0","0","0","0","13","8","0","0","1.8615","0.3621","0.0758","0.0173","0.0059","2788.6","289.5","52.5","10.9","3.4","1.7553","0.3062","0.0708","0.0136","0.001","2840.5","277.6","61.1","12.9","1.2","1.544","1.5153","0.6664","0.3494","0.1877","0.0915","0.0412","0.0317","0.0167","0.0124","0.0131","4018.8","1570.8","404.5","170.5","84.4","39.8","19","12.3","7.5","5","5.6","6338.2","0","0","0","0","0","194","133","39","5","0","184","128","25","14"
